-6001,0.500000,0.000000,0.300000,0.000000,0.200000,0.000000,0.000000,0.000000,0.000000
-4001,0.500000,0.000000,0.300000,0.000000,0.200000,0.000000,0.000000,0.000000,0.000000
-2003,0.500000,0.000000,0.300000,0.000000,0.200000,0.000000,0.000000,0.000000,0.000000
-2002,0.500000,0.000000,0.300000,0.000000,0.200000,0.000000,0.000000,0.000000,0.000000
-2001,0.500000,0.000000,0.300000,0.000000,0.200000,0.000000,0.000000,0.000000,0.000000
-2000,0.500000,0.000000,0.300000,0.000000,0.200000,0.000000,0.000000,0.000000,0.000000
-1999,0.500000,0.000000,0.300000,0.000000,0.200000,0.000000,0.000000,0.000000,0.000000
-1998,0.500000,0.000000,0.300000,0.000000,0.200000,0.000000,0.000000,0.000000,0.000000
-2,0.500000,0.000000,0.300000,0.000000,0.200000,0.000000,0.000000,0.000000,0.000000
-1,0.500000,0.000000,0.300000,0.000000,0.200000,0.000000,0.000000,0.000000,0.000000
1999,0.500000,0.000000,0.300000,0.000000,0.200000,0.000000,0.000000,0.000000,0.000000
3999,0.500000,0.000000,0.300000,0.000000,0.200000,0.000000,0.000000,0.000000,0.000000
